Country,State,Year,Additional Info,"Number Of Suicides (UOM:Number), Scaling Factor:1","Percentage Share In Total Suicides (UOM:%(Percentage)), Scaling Factor:1","Projected Mid-Year Population (UOM:Number), Scaling Factor:100000","Rate Of Suicides (UOM:Ratio), Scaling Factor:1","Rank (UOM:Number), Scaling Factor:1"
India,Puducherry,"Calendar Year (Jan - Dec), 2012",,541,0.4,14.71,36.8,
India,Punjab,"Calendar Year (Jan - Dec), 2012",,1030,0.8,280.83,3.7,
India,Rajasthan,"Calendar Year (Jan - Dec), 2012",,4821,3.6,692.49,7.0,
India,Sikkim,"Calendar Year (Jan - Dec), 2012",,181,0.1,6.22,29.1,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2012",,16927,12.5,680.02,24.9,
India,Telangana,"Calendar Year (Jan - Dec), 2012",,5892.38273859792042341772,10.5,354.8507273060402365399136,16.6,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2012",,102.00000000000000000000,0.000000000000000000000,6.6100000000000000000000,14.446577447309182143950,
India,Tripura,"Calendar Year (Jan - Dec), 2012",,844,0.6,36.72,23.0,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2012",,4422,3.3,2054.26,2.2,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2012",,424,0.3,101.31,4.2,
India,West Bengal,"Calendar Year (Jan - Dec), 2012",,14957,11.0,905.95,16.5,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2008",,143,0.1,4.2,34.5,3.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2008",,8413.61077188969309188524,11.5,483.340075414535385507076,17.4,6.447660477273695416660
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2008",,110,0.1,12.0,9.1,21.0
India,Assam,"Calendar Year (Jan - Dec), 2008",,2989,2.4,300.8,9.9,19.0
India,Bihar,"Calendar Year (Jan - Dec), 2008",,1015,0.8,943.1,1.1,34.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2008",,83,0.1,10.7,7.7,23.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2008",,4945,4.0,237.7,20.8,9.0
India,Goa,"Calendar Year (Jan - Dec), 2008",,287,0.2,16.4,17.5,10.0
India,Gujarat,"Calendar Year (Jan - Dec), 2008",,6165,4.9,566.6,10.9,16.0
India,Haryana,"Calendar Year (Jan - Dec), 2008",,2656,2.1,238.9,11.1,15.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2008",,630,0.5,65.7,9.6,20.0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2008",,303.21932661520039247100,0.2,122.265857506129190512500,2.5,28.365678941421972198900
India,Jharkhand,"Calendar Year (Jan - Dec), 2008",,911,0.7,301.4,3.0,28.0
India,Karnataka,"Calendar Year (Jan - Dec), 2008",,12222,9.8,576.0,21.2,8.0
India,Kerala,"Calendar Year (Jan - Dec), 2008",,8569,6.9,343.4,25.0,4.0
India,Ladakh,"Calendar Year (Jan - Dec), 2008",,6.78067338479960752900,0.2,2.734142493870809487500,2.5,0.634321058578027801100
India,Lakshadweep,"Calendar Year (Jan - Dec), 2008",,0,0.0,0.7,0.0,35.0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2008",,7629,6.1,696.8,10.9,17.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2008",,14374,11.5,1073.5,13.4,13.0
India,Manipur,"Calendar Year (Jan - Dec), 2008",,34,0.0,26.4,1.3,33.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2008",,85,0.1,25.5,3.3,26.0
India,Mizoram,"Calendar Year (Jan - Dec), 2008",,41,0.0,9.8,4.2,25.0
India,Nagaland,"Calendar Year (Jan - Dec), 2008",,42,0.0,22.0,1.9,32.0
India,Odisha,"Calendar Year (Jan - Dec), 2008",,4904,3.9,400.3,12.2,14.0
India,Puducherry,"Calendar Year (Jan - Dec), 2008",,507,0.4,10.8,46.9,2.0
India,Punjab,"Calendar Year (Jan - Dec), 2008",,869,0.7,266.9,3.3,27.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2008",,5166,4.1,649.9,7.9,22.0
India,Sikkim,"Calendar Year (Jan - Dec), 2008",,287,0.2,6.0,48.2,1.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2008",,14425,11.5,665.8,21.7,6.0
India,Telangana,"Calendar Year (Jan - Dec), 2008",,5940.38922811030690811476,11.5,341.259924585464614492924,17.4,4.552339522726304583340
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2008",,79.00000000000000000000,0.000000000000000000000,4.500000000000000000000,14.716443618272955359875,23.000000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2008",,752,0.6,35.2,21.3,7.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2008",,4088,3.3,1920.5,2.1,30.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2008",,191,0.2,95.4,2.0,31.0
India,West Bengal,"Calendar Year (Jan - Dec), 2008",,14852,11.9,882.1,16.8,12.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2007",,156,0.1,4.0,38.5,2.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2007",,8723.09847479883047188492,12.1,478.299177223212314544960,18.2,5.861509524794268560600
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2007",,129,0.1,11.9,10.8,15.0
India,Assam,"Calendar Year (Jan - Dec), 2007",,3062,2.5,296.2,10.3,16.0
India,Bihar,"Calendar Year (Jan - Dec), 2007",,965,0.8,928.3,1.0,35.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2007",,82,0.1,10.5,7.8,22.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2007",,4839,3.9,233.8,20.7,7.0
India,Goa,"Calendar Year (Jan - Dec), 2007",,270,0.2,16.0,16.9,12.0
India,Gujarat,"Calendar Year (Jan - Dec), 2007",,5580,4.6,558.8,10.0,18.0
India,Haryana,"Calendar Year (Jan - Dec), 2007",,2433,2.0,235.3,10.3,17.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2007",,402,0.3,65.1,6.2,24.0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2007",,228.88168525147384463940,0.2,118.353350065933056416100,1.9,31.300059521569072771200
India,Jharkhand,"Calendar Year (Jan - Dec), 2007",,1289,1.1,297.3,4.3,26.0
India,Karnataka,"Calendar Year (Jan - Dec), 2007",,12304,10.0,569.8,21.6,5.0
India,Kerala,"Calendar Year (Jan - Dec), 2007",,8962,7.3,340.1,26.3,4.0
India,Ladakh,"Calendar Year (Jan - Dec), 2007",,5.11831474852615536060,0.2,2.646649934066943583900,1.9,0.699940478430927228800
India,Lakshadweep,"Calendar Year (Jan - Dec), 2007",,3,0.0,0.7,4.4,25.0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2007",,6329,5.2,684.5,9.2,19.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2007",,15184,12.4,1059.7,14.3,13.0
India,Manipur,"Calendar Year (Jan - Dec), 2007",,39,0.0,26.1,1.5,33.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2007",,87,0.1,25.1,3.5,27.0
India,Mizoram,"Calendar Year (Jan - Dec), 2007",,28,0.0,9.7,2.9,29.0
India,Nagaland,"Calendar Year (Jan - Dec), 2007",,24,0.0,21.7,1.1,34.0
India,Odisha,"Calendar Year (Jan - Dec), 2007",,4308,3.5,396.2,10.9,14.0
India,Puducherry,"Calendar Year (Jan - Dec), 2007",,517,0.4,10.6,48.6,1.0
India,Punjab,"Calendar Year (Jan - Dec), 2007",,847,0.7,263.9,3.2,28.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2007",,4437,3.6,639.1,6.9,23.0
India,Sikkim,"Calendar Year (Jan - Dec), 2007",,122,0.1,5.9,20.7,8.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2007",,13811,11.3,660.2,20.9,6.0
India,Telangana,"Calendar Year (Jan - Dec), 2007",,6158.90152520116952811508,12.1,337.700822776787685455040,18.2,4.138490475205731439400
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2007",,91.00000000000000000000,0.036931548946183642879,4.400000000000000000000,16.103351474483299576106,24.000000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2007",,705,0.6,34.8,20.3,9.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2007",,3927,3.2,1885.4,2.1,31.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2007",,248,0.2,94.0,2.6,30.0
India,West Bengal,"Calendar Year (Jan - Dec), 2007",,14860,12.1,871.8,17.0,11.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2006",,133,0.1,4.0,33.6,2.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2006",,7781.74004511687094105256,11.2,473.141048841393358211632,16.4,8.792264287191402840900
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2006",,129,0.1,11.7,11.0,23.0
India,Assam,"Calendar Year (Jan - Dec), 2006",,3031,2.6,291.6,10.4,16.0
India,Bihar,"Calendar Year (Jan - Dec), 2006",,618,0.5,913.3,0.7,35.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2006",,80,0.1,10.2,7.8,22.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2006",,4626,3.9,229.9,20.1,7.0
India,Goa,"Calendar Year (Jan - Dec), 2006",,275,0.2,15.5,17.7,10.0
India,Gujarat,"Calendar Year (Jan - Dec), 2006",,5035,4.3,550.8,9.1,21.0
India,Haryana,"Calendar Year (Jan - Dec), 2006",,2316,2.0,231.6,10.0,18.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2006",,457,0.4,64.5,7.1,24.0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2006",,256.26923733284678331420,0.2,114.734280683751632376930,2.2,30.321932661520039247100
India,Jharkhand,"Calendar Year (Jan - Dec), 2006",,856,0.7,293.1,2.9,30.0
India,Karnataka,"Calendar Year (Jan - Dec), 2006",,12212,10.3,563.5,21.7,6.0
India,Kerala,"Calendar Year (Jan - Dec), 2006",,9026,7.6,336.8,26.8,3.0
India,Ladakh,"Calendar Year (Jan - Dec), 2006",,5.73076266715321668580,0.2,2.565719316248367623070,2.2,0.678067338479960752900
India,Lakshadweep,"Calendar Year (Jan - Dec), 2006",,2,0.0,0.7,3.0,29.0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2006",,6435,5.4,672.1,9.6,19.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2006",,15494,13.1,1045.7,14.8,13.0
India,Manipur,"Calendar Year (Jan - Dec), 2006",,36,0.0,25.7,1.4,33.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2006",,92,0.1,24.8,3.7,26.0
India,Mizoram,"Calendar Year (Jan - Dec), 2006",,70,0.1,9.6,7.3,23.0
India,Nagaland,"Calendar Year (Jan - Dec), 2006",,28,0.0,21.4,1.3,34.0
India,Odisha,"Calendar Year (Jan - Dec), 2006",,4065,3.4,392.0,10.4,17.0
India,Puducherry,"Calendar Year (Jan - Dec), 2006",,526,0.4,10.5,50.2,1.0
India,Punjab,"Calendar Year (Jan - Dec), 2006",,772,0.7,260.8,3.0,28.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2006",,4263,3.6,628.0,6.8,25.0
India,Sikkim,"Calendar Year (Jan - Dec), 2006",,145,0.1,5.8,25.0,4.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2006",,12381,10.5,654.5,18.9,8.0
India,Telangana,"Calendar Year (Jan - Dec), 2006",,5494.25995488312905894744,11.2,334.058951158606641788368,16.4,6.207735712808597159100
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2006",,64.00000000000000000000,0.000000000000000000000,4.300000000000000000000,13.898851251524447572434,25.000000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2006",,765,0.6,34.4,22.3,5.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2006",,3099,2.6,1850.2,1.7,32.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2006",,326,0.3,92.6,3.5,27.0
India,West Bengal,"Calendar Year (Jan - Dec), 2006",,15725,13.3,861.3,18.3,9.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2005",,139,0.1,3.9,35.8,2.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2005",,7879.04110322845579915852,11.8,467.807075173830573821486,16.8,7.619962382232549128780
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2005",,70,0.1,11.6,6.0,23.0
India,Assam,"Calendar Year (Jan - Dec), 2005",,2846,2.5,286.9,9.9,16.0
India,Bihar,"Calendar Year (Jan - Dec), 2005",,543,0.5,898.2,0.6,34.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2005",,89,0.1,10.0,8.9,18.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2005",,4881,4.3,225.8,21.6,5.0
India,Goa,"Calendar Year (Jan - Dec), 2005",,282,0.2,15.1,18.7,9.0
India,Gujarat,"Calendar Year (Jan - Dec), 2005",,4765,4.2,542.7,8.8,19.0
India,Haryana,"Calendar Year (Jan - Dec), 2005",,2046,1.8,227.9,9.0,17.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2005",,359,0.3,63.8,5.6,25.0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2005",,287.56929685441585608540,0.3,111.213023987575111690170,2.6,28.365678941421972198900
India,Jharkhand,"Calendar Year (Jan - Dec), 2005",,808,0.7,288.9,2.8,28.0
India,Karnataka,"Calendar Year (Jan - Dec), 2005",,11557,10.1,557.0,20.7,7.0
India,Kerala,"Calendar Year (Jan - Dec), 2005",,9244,8.1,333.4,27.7,4.0
India,Ladakh,"Calendar Year (Jan - Dec), 2005",,6.43070314558414391460,0.3,2.486976012424888309830,2.6,0.634321058578027801100
India,Lakshadweep,"Calendar Year (Jan - Dec), 2005",,0,0.0,0.7,0.0,35.0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2005",,5448,4.8,659.5,8.3,20.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2005",,14426,12.7,1031.6,14.0,14.0
India,Manipur,"Calendar Year (Jan - Dec), 2005",,27,0.0,25.4,1.1,33.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2005",,71,0.1,24.5,2.9,27.0
India,Mizoram,"Calendar Year (Jan - Dec), 2005",,55,0.0,9.5,5.8,24.0
India,Nagaland,"Calendar Year (Jan - Dec), 2005",,27,0.0,21.2,1.3,32.0
India,Odisha,"Calendar Year (Jan - Dec), 2005",,4208,3.7,387.5,10.9,15.0
India,Puducherry,"Calendar Year (Jan - Dec), 2005",,538,0.5,10.3,52.1,1.0
India,Punjab,"Calendar Year (Jan - Dec), 2005",,588,0.5,257.6,2.3,30.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2005",,4178,3.7,616.7,6.8,22.0
India,Sikkim,"Calendar Year (Jan - Dec), 2005",,109,0.1,5.8,19.0,8.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2005",,12076,10.6,648.6,18.6,10.0
India,Telangana,"Calendar Year (Jan - Dec), 2005",,5562.95889677154420084148,11.8,330.292924826169426178514,16.8,5.380037617767450871220
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2005",,101.00000000000000000000,0.036931548946183642879,4.200000000000000000000,21.993154894618364287900,14.000000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2005",,715,0.6,33.9,21.1,6.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2005",,3449,3.0,1814.9,1.9,31.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2005",,273,0.2,91.2,3.0,26.0
India,West Bengal,"Calendar Year (Jan - Dec), 2005",,15015,13.2,850.5,17.7,12.0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2004",,122,0.1,3.8,32.2,2.0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2004",,7928.27778323672765506756,11.9,462.180026030028076003310,17.2,5.861509524794268560600
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2004",,79,0.1,11.4,6.9,22.0
India,Assam,"Calendar Year (Jan - Dec), 2004",,2839,2.5,282.1,10.1,16.0
India,Bihar,"Calendar Year (Jan - Dec), 2004",,351,0.3,883.1,0.4,34.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2004",,75,0.1,9.8,7.7,20.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2004",,4495,4.0,221.5,20.3,7.0
India,Goa,"Calendar Year (Jan - Dec), 2004",,314,0.3,14.7,21.4,6.0
India,Gujarat,"Calendar Year (Jan - Dec), 2004",,4776,4.2,534.6,8.9,18.0
India,Haryana,"Calendar Year (Jan - Dec), 2004",,2082,1.8,224.2,9.3,17.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2004",,371,0.3,63.2,5.9,25.0
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2004",,109.55020832549175469920,0.1,107.985205349413301060640,1.0,32.278186381618106295300
India,Jharkhand,"Calendar Year (Jan - Dec), 2004",,417,0.4,284.5,1.5,31.0
India,Karnataka,"Calendar Year (Jan - Dec), 2004",,11937,10.5,550.4,21.7,5.0
India,Kerala,"Calendar Year (Jan - Dec), 2004",,9053,8.0,329.8,27.4,3.0
India,Ladakh,"Calendar Year (Jan - Dec), 2004",,2.44979167450824530080,0.1,2.414794650586698939360,1.0,0.721813618381893704700
India,Lakshadweep,"Calendar Year (Jan - Dec), 2004",,0,0.0,0.6,0.0,35.0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2004",,6795,6.0,646.6,10.5,15.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2004",,14729,13.0,1017.5,14.5,13.0
India,Manipur,"Calendar Year (Jan - Dec), 2004",,41,0.0,25.1,1.6,30.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2004",,55,0.0,24.2,2.3,28.0
India,Mizoram,"Calendar Year (Jan - Dec), 2004",,60,0.1,9.4,6.4,23.0
India,Nagaland,"Calendar Year (Jan - Dec), 2004",,31,0.0,21.0,1.5,32.0
India,Odisha,"Calendar Year (Jan - Dec), 2004",,4215,3.7,382.9,11.0,14.0
India,Puducherry,"Calendar Year (Jan - Dec), 2004",,539,0.5,10.2,53.0,1.0
India,Punjab,"Calendar Year (Jan - Dec), 2004",,645,0.6,254.4,2.5,27.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2004",,3725,3.3,605.1,6.2,24.0
India,Sikkim,"Calendar Year (Jan - Dec), 2004",,98,0.1,5.7,17.3,9.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2004",,12839,11.3,642.3,20.0,8.0
India,Telangana,"Calendar Year (Jan - Dec), 2004",,5597.72221676327234493244,11.9,326.319973969971923996690,17.2,4.138490475205731439400
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2004",,52.00000000000000000000,0.000000000000000000000,4.100000000000000000000,10.849976307264160573352,32.000000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2004",,770,0.7,33.4,23.0,4.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2004",,3637,3.2,1779.4,2.0,29.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2004",,237,0.2,89.7,2.6,26.0
India,West Bengal,"Calendar Year (Jan - Dec), 2004",,13424,11.8,839.5,16.0,12.0
