Country,State,Year,Additional Info,"Number Of Suicides (UOM:Number), Scaling Factor:1","Percentage Share In Total Suicides (UOM:%(Percentage)), Scaling Factor:1","Projected Mid-Year Population (UOM:Number), Scaling Factor:100000","Rate Of Suicides (UOM:Ratio), Scaling Factor:1","Rank (UOM:Number), Scaling Factor:1"
India,Chandigarh,"Calendar Year (Jan - Dec), 2016",,123,0.1,18.01,6.8,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2016",,6705,5.1,259.88,25.8,
India,Goa,"Calendar Year (Jan - Dec), 2016",,273,0.2,19.85,13.8,
India,Gujarat,"Calendar Year (Jan - Dec), 2016",,7735,5.9,630.75,12.3,
India,Haryana,"Calendar Year (Jan - Dec), 2016",,3665,2.8,276.12,13.3,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2016",,642,0.5,71.15,9.0,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2016",,321.80373695613202942890,0.3,121.9039505679110481085830,2.6,
India,Jharkhand,"Calendar Year (Jan - Dec), 2016",,1292,1.0,338.03,3.8,
India,Karnataka,"Calendar Year (Jan - Dec), 2016",,10687,8.2,625.68,17.1,
India,Kerala,"Calendar Year (Jan - Dec), 2016",,7705,5.9,357.45,21.6,
India,Ladakh,"Calendar Year (Jan - Dec), 2016",,7.19626304386797057110,0.3,2.7260494320889518914170,2.6,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2016",,3,0.0,0.82,3.7,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2016",,10442,8.0,782.55,13.3,
India,Maharashtra,"Calendar Year (Jan - Dec), 2016",,17195,13.1,1205.54,14.3,
India,Manipur,"Calendar Year (Jan - Dec), 2016",,37,0.0,26.01,1.4,
India,Meghalaya,"Calendar Year (Jan - Dec), 2016",,166,0.1,27.84,6.0,
India,Mizoram,"Calendar Year (Jan - Dec), 2016",,124,0.1,10.67,11.6,
India,Nagaland,"Calendar Year (Jan - Dec), 2016",,34,0.0,23.89,1.4,
India,Odisha,"Calendar Year (Jan - Dec), 2016",,3904,3.0,425.93,9.2,
India,Puducherry,"Calendar Year (Jan - Dec), 2016",,561,0.4,16.83,33.3,
India,Punjab,"Calendar Year (Jan - Dec), 2016",,1440,1.1,292.01,4.9,
India,Rajasthan,"Calendar Year (Jan - Dec), 2016",,3678,2.8,732.76,5.0,
India,Sikkim,"Calendar Year (Jan - Dec), 2016",,263,0.2,6.49,40.5,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2016",,15182,11.6,695.18,21.8,
India,Telangana,"Calendar Year (Jan - Dec), 2016",,9019,6.9,368.53,24.5,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2016",,91.00000000000000000000,0.000000000000000000000,7.5900000000000000000000,11.575562527869856500459,
India,Tripura,"Calendar Year (Jan - Dec), 2016",,677,0.5,38.4,17.6,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2016",,3518,2.7,2192.39,1.6,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2016",,152,0.1,106.77,1.4,
India,West Bengal,"Calendar Year (Jan - Dec), 2016",,13451,10.3,938.27,14.3,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2015",,158,0.1,5.5,28.9,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2015",Adjusted Mid-year projected population for the year 2015 due to absence of population figures of newly created States namely Andhra Pradesh and Telangana carved out from erstwhile 'Andhra Pradesh.,6226,4.7,513.4,12.1,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2015",,135,0.1,13.0,10.4,
India,Assam,"Calendar Year (Jan - Dec), 2015",,3231,2.4,322.0,10.0,
India,Bihar,"Calendar Year (Jan - Dec), 2015",,516,0.4,1031.4,0.5,
India,Chandigarh,"Calendar Year (Jan - Dec), 2015",,121,0.1,17.4,6.9,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2015",,7118,5.3,256.6,27.7,
India,Goa,"Calendar Year (Jan - Dec), 2015",,302,0.2,19.7,15.4,
India,Gujarat,"Calendar Year (Jan - Dec), 2015",,7246,5.4,623.3,11.6,
India,Haryana,"Calendar Year (Jan - Dec), 2015",,3545,2.7,272.2,13.0,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2015",,543,0.4,70.6,7.7,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2015",,363.86319193824047096520,0.3,120.700854530050736873940,3.0,
India,Jharkhand,"Calendar Year (Jan - Dec), 2015",,835,0.6,333.5,2.5,
India,Karnataka,"Calendar Year (Jan - Dec), 2015",,10786,8.1,619.9,17.4,
India,Kerala,"Calendar Year (Jan - Dec), 2015",,7692,5.8,355.5,21.6,
India,Ladakh,"Calendar Year (Jan - Dec), 2015",,8.13680806175952903480,0.3,2.699145469949263126060,3.0,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2015",,5,0.0,0.8,6.3,
